CCS/College of Computer Studies
CSM/College of Science and Mathematics
CEBA/College of Business and Administration
CHS/College of Health Sciences
CASS/College of Arts and Social Sciences
COE/College of Engineering
CED/College of Education
END/This is the end of the file/END
